ds,yhat,yhat_lower,yhat_upper,production_type
2010-01-01,1725.433756433594,1258.8392786749316,2276.059513438777,"Coal, Peat and Manufactured Gases"
2010-02-01,1908.310358022698,1382.7897390405772,2421.9005871892364,"Coal, Peat and Manufactured Gases"
2010-03-01,1850.1071116775402,1389.0190502137937,2327.224908603099,"Coal, Peat and Manufactured Gases"
2010-04-01,1982.731438010168,1499.8463809633154,2454.001669761418,"Coal, Peat and Manufactured Gases"
2010-05-01,1694.5295179999207,1211.0049835855677,2153.1925535790665,"Coal, Peat and Manufactured Gases"
2010-06-01,1724.1200471110526,1277.3004391493193,2248.13483991478,"Coal, Peat and Manufactured Gases"
2010-07-01,1678.2152668631702,1155.8594461018574,2186.790543604266,"Coal, Peat and Manufactured Gases"
2010-08-01,1327.239124057142,825.2298090121586,1793.8404730818709,"Coal, Peat and Manufactured Gases"
2010-09-01,1012.9734097439747,495.2279755256962,1481.6260512872568,"Coal, Peat and Manufactured Gases"
2010-10-01,947.0857300001348,461.4805695555776,1449.2786292833077,"Coal, Peat and Manufactured Gases"
2010-11-01,1231.593573938011,711.8263338138149,1749.198967959159,"Coal, Peat and Manufactured Gases"
2010-12-01,1524.6295915566698,1041.3932846849043,2021.306858443772,"Coal, Peat and Manufactured Gases"
2011-01-01,1765.238610965252,1270.0480965763916,2229.7581838060914,"Coal, Peat and Manufactured Gases"
2011-02-01,1747.75075222473,1290.8588495896058,2271.647494994005,"Coal, Peat and Manufactured Gases"
2011-03-01,2474.8050540876475,2012.508716548825,2973.215153256287,"Coal, Peat and Manufactured Gases"
2011-04-01,1512.0017322528188,1017.6812504312998,2027.7488325508714,"Coal, Peat and Manufactured Gases"
2011-05-01,1974.3658399935887,1484.7798497961892,2474.0769601440747,"Coal, Peat and Manufactured Gases"
2011-06-01,1738.9626622377198,1237.4251894432848,2216.224132174437,"Coal, Peat and Manufactured Gases"
2011-07-01,1568.4730501332658,1062.2739762389392,2038.8240274486102,"Coal, Peat and Manufactured Gases"
2011-08-01,1475.1554266673365,977.7114782642524,1934.0287762736612,"Coal, Peat and Manufactured Gases"
2011-09-01,912.4089203596992,458.0413535104965,1434.120802293615,"Coal, Peat and Manufactured Gases"
2011-10-01,1110.4533089537285,631.7280275808181,1602.641952224084,"Coal, Peat and Manufactured Gases"
2011-11-01,1302.914889861179,843.3437713006178,1778.925926285245,"Coal, Peat and Manufactured Gases"
2011-12-01,1459.5780398910092,966.8614811251465,1947.6688151623666,"Coal, Peat and Manufactured Gases"
2012-01-01,1580.359674515453,1085.5050935611725,2106.3422032827843,"Coal, Peat and Manufactured Gases"
2012-02-01,2009.4175630300344,1550.050814249436,2496.796348448679,"Coal, Peat and Manufactured Gases"
2012-03-01,1754.8810807342431,1254.9775537414132,2255.6084438296148,"Coal, Peat and Manufactured Gases"
2012-04-01,1932.015631501087,1441.6096068456507,2432.25176636389,"Coal, Peat and Manufactured Gases"
2012-05-01,1702.9064206648454,1212.4586457940443,2208.7232928659155,"Coal, Peat and Manufactured Gases"
2012-06-01,2190.5453159716626,1688.2228377012475,2659.9226101162963,"Coal, Peat and Manufactured Gases"
2012-07-01,1755.2197704914183,1233.852433898919,2246.076007501646,"Coal, Peat and Manufactured Gases"
2012-08-01,1327.1463704921382,829.2365364349122,1823.1019009057861,"Coal, Peat and Manufactured Gases"
2012-09-01,1174.7065819772536,675.4218157111926,1648.321551297167,"Coal, Peat and Manufactured Gases"
2012-10-01,980.3562686708703,468.00592527757203,1468.5788166177952,"Coal, Peat and Manufactured Gases"
2012-11-01,1065.3445511742534,554.1974163279665,1544.8307220216423,"Coal, Peat and Manufactured Gases"
2012-12-01,1369.057045662381,871.5183382118025,1867.9227305413608,"Coal, Peat and Manufactured Gases"
2013-01-01,2003.7470582303813,1507.913648007008,2482.82678664026,"Coal, Peat and Manufactured Gases"
2013-02-01,1872.428346110275,1379.401155875857,2343.6635689238715,"Coal, Peat and Manufactured Gases"
2013-03-01,1902.8042515586692,1430.4999586786241,2379.404910692234,"Coal, Peat and Manufactured Gases"
2013-04-01,1547.1802890374224,1047.9853100679118,2092.8051619026583,"Coal, Peat and Manufactured Gases"
2013-05-01,1348.986647023486,843.7176973694553,1862.5205794473075,"Coal, Peat and Manufactured Gases"
2013-06-01,1791.307264888655,1288.99934777484,2307.138861877641,"Coal, Peat and Manufactured Gases"
2013-07-01,1486.9836481204838,1000.5462818920204,2009.0413182499572,"Coal, Peat and Manufactured Gases"
2013-08-01,1148.7446473021273,645.2882875104145,1647.8914986356845,"Coal, Peat and Manufactured Gases"
2013-09-01,631.9505067766663,174.65534700026552,1122.2581469349207,"Coal, Peat and Manufactured Gases"
2013-10-01,883.9258577679323,350.0792475298821,1396.398447746788,"Coal, Peat and Manufactured Gases"
2013-11-01,1074.7392569898125,560.5531646834709,1550.7186338861436,"Coal, Peat and Manufactured Gases"
2013-12-01,1262.0898187635999,770.4355255633748,1756.4166368759381,"Coal, Peat and Manufactured Gases"
2014-01-01,1350.3189516890434,842.8879503565284,1832.0486651578674,"Coal, Peat and Manufactured Gases"
2014-02-01,1523.3764115623123,1048.941324635854,2029.3819472697185,"Coal, Peat and Manufactured Gases"
2014-03-01,1076.2933940585522,558.1018044754223,1554.6302783778601,"Coal, Peat and Manufactured Gases"
2014-04-01,1407.0348465332136,887.5541321112547,1888.6790540182512,"Coal, Peat and Manufactured Gases"
2014-05-01,1315.7290818475628,797.4883359316357,1817.2823568330653,"Coal, Peat and Manufactured Gases"
