country,month,avg_temp_c,precip_mm,wind_kmh
France,2010-01,0.8370967741935484,33.800000000000004,16.106451612903225
France,2010-02,3.857142857142857,63.599999999999994,22.61785714285714
France,2010-03,6.893548387096776,34.5,20.62258064516129
France,2010-04,10.298333333333334,18.099999999999998,18.15
France,2010-05,12.40967741935484,34.60000000000001,18.0
France,2010-06,17.650000000000002,56.9,15.336666666666668
France,2010-07,20.93870967741935,48.8,14.98709677419355
France,2010-08,18.145161290322577,73.1,16.906451612903226
France,2010-09,15.333333333333332,48.20000000000001,13.893333333333334
France,2010-10,11.670967741935485,46.300000000000004,17.903225806451616
France,2010-11,6.88,67.1,17.77
France,2010-12,0.2564516129032258,80.50000000000001,18.541935483870965
France,2011-01,4.458064516129032,53.9,18.351612903225803
France,2011-02,6.1875,24.6,16.853571428571428
France,2011-03,8.411290322580646,27.8,17.403225806451612
France,2011-04,13.616666666666665,10.2,14.179999999999998
France,2011-05,16.003225806451617,4.1,16.361290322580643
France,2011-06,17.541666666666664,78.0,19.009999999999998
France,2011-07,17.10967741935484,85.49999999999999,17.88064516129032
France,2011-08,18.78870967741935,60.7,16.10322580645161
France,2011-09,17.785000000000004,36.800000000000004,17.083333333333332
France,2011-10,13.706451612903226,29.6,15.774193548387094
France,2011-11,10.075000000000001,41.89999999999999,14.333333333333336
France,2011-12,6.870967741935484,117.8,25.50645161290322
France,2012-01,5.819354838709678,35.6,19.161290322580644
France,2012-02,1.7879310344827584,9.7,16.1
France,2012-03,9.288709677419353,23.1,15.874193548387094
France,2012-04,9.01,81.29999999999998,21.973333333333333
France,2012-05,14.730645161290322,63.400000000000006,17.416129032258063
France,2012-06,16.708333333333332,89.30000000000001,19.293333333333333
France,2012-07,17.893548387096775,86.10000000000001,17.245161290322585
France,2012-08,20.730645161290322,10.3,17.716129032258067
France,2012-09,16.065000000000005,38.9,16.203333333333333
France,2012-10,12.53225806451613,97.10000000000001,18.125806451612906
France,2012-11,7.635000000000001,37.300000000000004,18.32333333333333
France,2012-12,5.95967741935484,91.60000000000001,23.758064516129032
France,2013-01,3.401612903225807,50.99999999999999,17.370967741935484
France,2013-02,2.7285714285714286,53.60000000000001,18.97857142857143
France,2013-03,4.672580645161291,55.300000000000004,17.36451612903226
France,2013-04,9.364999999999998,47.699999999999996,18.39333333333333
France,2013-05,11.543548387096774,86.80000000000003,17.358064516129033
France,2013-06,16.3,50.400000000000006,17.026666666666667
France,2013-07,21.743548387096777,21.9,16.116129032258065
France,2013-08,19.614516129032257,47.6,14.890322580645163
France,2013-09,16.64166666666667,54.1,15.266666666666664
France,2013-10,14.248387096774191,69.5,19.73548387096774
France,2013-11,7.0233333333333325,82.50000000000001,20.993333333333336
France,2013-12,5.337096774193548,50.9,20.612903225806452
France,2014-01,6.538709677419353,60.7,21.664516129032258
France,2014-02,7.1035714285714295,79.0,25.607142857142858
France,2014-03,8.656451612903227,18.2,16.53870967741935
France,2014-04,11.63333333333333,50.30000000000001,15.616666666666667
France,2014-05,13.464516129032257,99.89999999999999,19.093548387096778
France,2014-06,17.315,80.3,15.83333333333333
France,2014-07,19.438709677419357,124.39999999999999,15.045161290322582
France,2014-08,17.054838709677416,103.0,16.4741935483871
France,2014-09,17.185000000000002,16.8,13.236666666666668
France,2014-10,14.283870967741935,51.499999999999986,16.119354838709675
France,2014-11,9.865,59.6,16.12
France,2014-12,4.9887096774193544,67.99999999999999,19.929032258064513
France,2015-01,4.248387096774194,41.50000000000001,21.480645161290326
France,2015-02,3.705357142857143,49.400000000000006,20.217857142857145
France,2015-03,7.329032258064517,36.099999999999994,18.55483870967742
France,2015-04,10.953333333333335,38.599999999999994,17.113333333333337
France,2015-05,13.354838709677422,64.4,17.81935483870968
France,2015-06,17.938333333333333,11.299999999999999,18.189999999999998
France,2015-07,21.29516129032258,27.199999999999996,18.387096774193548
France,2015-08,20.945161290322584,69.80000000000001,16.21935483870968
France,2015-09,14.72,59.3,18.05666666666667
France,2015-10,11.703225806451611,43.5,15.28709677419355
France,2015-11,10.806666666666668,58.699999999999996,21.253333333333334
France,2015-12,9.05483870967742,34.900000000000006,19.303225806451614
France,2016-01,5.37741935483871,73.2,22.174193548387098
France,2016-02,5.801724137931035,58.39999999999999,23.310344827586206
France,2016-03,6.461290322580645,86.5,21.41290322580645
France,2016-04,9.253333333333332,71.4,18.473333333333333
France,2016-05,13.888709677419353,169.89999999999998,16.38064516129032
France,2016-06,16.993333333333332,73.2,15.659999999999998
France,2016-07,19.36774193548387,26.0,14.567741935483868
France,2016-08,20.846774193548388,16.0,15.835483870967742
France,2016-09,19.193333333333335,22.599999999999998,13.736666666666663
France,2016-10,11.909677419354837,32.0,14.47741935483871
France,2016-11,7.481666666666667,59.3,19.206666666666663
France,2016-12,3.9338709677419366,19.200000000000003,13.135483870967743
France,2017-01,1.9241935483870967,43.199999999999996,17.067741935483873
France,2017-02,7.0303571428571425,44.1,20.846428571428568
France,2017-03,10.237096774193548,83.89999999999999,20.793548387096777
France,2017-04,9.896666666666668,20.099999999999998,16.12
France,2017-05,15.75967741935484,54.599999999999994,17.64516129032258
France,2017-06,20.226666666666674,61.3,17.966666666666665
France,2017-07,20.698387096774198,59.9,19.17096774193548
France,2017-08,19.61935483870968,95.6,16.01935483870968
France,2017-09,15.558333333333335,97.39999999999999,17.263333333333332
France,2017-10,14.216129032258065,36.400000000000006,18.035483870967738
France,2017-11,7.976666666666666,49.5,19.456666666666667
France,2017-12,5.616129032258065,90.7,23.35806451612903
France,2018-01,7.577419354838711,117.99999999999999,25.48709677419355
