Country,Time,Balance,Product,Value,Unit
Germany,25-Jan,Net Electricity Production,Electricity,45522.9757,GWh
Germany,25-Jan,Net Electricity Production,Total Combustible Fuels,26330.6134,GWh
Germany,25-Jan,Net Electricity Production,Hydro,2264.1748,GWh
Germany,25-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",11338.0514,GWh
Germany,25-Jan,Net Electricity Production,Oil and Petroleum Products,582.7734,GWh
Germany,25-Jan,Net Electricity Production,Natural Gas,10192.068,GWh
Germany,25-Jan,Net Electricity Production,Combustible Renewables,3717.6914,GWh
Germany,25-Jan,Net Electricity Production,Geothermal,17.9355,GWh
Germany,25-Jan,Net Electricity Production,Other Combustible Non-Renewables,500.0291,GWh
Germany,25-Jan,Net Electricity Production,Solar,2011.6845,GWh
Germany,25-Jan,Net Electricity Production,Not Specified,96.3416,GWh
Germany,25-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22813.7121,GWh
Germany,25-Jan,Total Imports,Electricity,6424.8698,GWh
Germany,25-Jan,Total Exports,Electricity,6274.67,GWh
Germany,25-Jan,Used for pumped storage,Electricity,826.3158,GWh
Germany,25-Jan,Distribution Losses,Electricity,2679.6616,GWh
Germany,25-Jan,Final Consumption (Calculated),Electricity,42167.198,GWh
Germany,25-Jan,Net Electricity Production,Wind,14802.2259,GWh
France,24-Dec,Net Electricity Production,Electricity,53048.5369,GWh
France,24-Dec,Net Electricity Production,Nuclear,36654.2976,GWh
France,24-Dec,Net Electricity Production,Total Combustible Fuels,3218.1533,GWh
France,24-Dec,Net Electricity Production,Hydro,6909.3684,GWh
France,24-Dec,Net Electricity Production,Natural Gas,2415.7262,GWh
France,24-Dec,Net Electricity Production,Combustible Renewables,625.5496,GWh
France,24-Dec,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Dec,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Dec,Net Electricity Production,Solar,864.7223,GWh
France,24-Dec,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Dec,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Dec,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",13685.2158,GWh
France,24-Dec,Total Imports,Electricity,1518.0003,GWh
France,24-Dec,Total Exports,Electricity,8273.3672,GWh
France,24-Dec,Used for pumped storage,Electricity,659.7413,GWh
France,24-Dec,Distribution Losses,Electricity,4574.8101,GWh
France,24-Dec,Final Consumption (Calculated),Electricity,41058.6187,GWh
France,24-Dec,Net Electricity Production,Wind,5238.9246,GWh
Germany,24-Dec,Net Electricity Production,Electricity,42748.3323,GWh
Germany,24-Dec,Net Electricity Production,Total Combustible Fuels,23653.7922,GWh
Germany,24-Dec,Net Electricity Production,Hydro,2241.2938,GWh
Germany,24-Dec,Net Electricity Production,"Coal, Peat and Manufactured Gases",10463.5312,GWh
Germany,24-Dec,Net Electricity Production,Oil and Petroleum Products,435.1884,GWh
Germany,24-Dec,Net Electricity Production,Natural Gas,8633.1344,GWh
Germany,24-Dec,Net Electricity Production,Combustible Renewables,3703.8704,GWh
